,product_name,ratings,Prices,description
160,APPLE iPad Pro (4th Gen) 128 GB ROM 11.0 inch with Wi-Fi+5G (Space Grey),3,"Rs 90,090",128 GB ROM27.94 cm (11.0 inch) Full HD Display12 MP Primary Camera | 12 MP FrontiPadOS 16 | Battery: Lithium PolymerProcessor: Apple M2 chip1 Year Limited Hardware Warranty
161,APPLE iPad Air (5th gen) 256 GB ROM 10.9 Inch with Wi-Fi Only (Pink),4.5,"Rs 68,900",256 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerProcessor: Apple M1 Chip1 Year warranty
162,Alcatel 1T 7 4G (2nd Gen) 1 GB RAM 16 GB ROM 7 inches with Wi-Fi+4G Tablet (Black),4.7,"Rs 7,499",1 GB RAM | 16 GB ROM17.78 cm (7 inches) Display2 MP Primary CameraAndroid Go | Battery: 2580 mAhVoice Call (Single Sim)1 Year warranty from date of purchase
163,SAMSUNG Galaxy Tab S8 Ultra With Stylus 12 GB RAM 256 GB ROM 14.6 inch with Wi-Fi Only Tablet (Graphit...,4.6,"Rs 1,08,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB37.08 cm (14.6 inch) Full HD Display13 MP Primary Camera | 12 MP FrontAndroid 12 | Battery: 10090 mAhVoice Call (No Sim)Processor: Octa-Core1 Year Manufacturer Warranty for Tablet and 6 Months Warranty for in the Box Accessories
164,APPLE iPad mini (6th Gen) 64 GB ROM 8.3 inch with Wi-Fi Only (Starlight),4.7,"Rs 44,400",64 GB ROM21.08 cm (8.3 inch) Display12 MP Primary Camera | 12 MP FrontiOS 15 | Battery: Lithium PolymerProcessor: A15 Bionic Chip with 64-bit Architecture1 Year Warranty
165,APPLE iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi+5G (space Grey),4.7,"Rs 68,900",64 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerVoice Call (Single Sim)Processor: Apple M1 chip1 Year Warranty
166,APPLE iPad Air (4th Gen) 64 GB ROM 10.9 inch with Wi-Fi+4G (Green),4.7,"Rs 59,900","Stunning 10.9-inch Liquid Retina display with True Tone and P3 wide colorA14 Bionic chip with Neural EngineTouch ID for secure authentication and Apple Pay12MP back camera, 7MP FaceTime HD front cameraAvailable in silver, space gray, rose gold, green, and sky blueWide stereo audioWi-Fi 6 (802.11ax) and Gigabit-class LTE cellular dataUp to 10 hours of battery lifeUSB-C connector for charging and accessoriesSupport for Magic Keyboard, Smart Keyboard Folio, and Apple Pencil (2nd generation)iPadOS 14 brings new capabilities designed specifically for iPad64 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 7 MP FrontiPadOS 14 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64‑bit Architecture) with Neural Engine1 Year Limited Hardware Warranty"
167,SAMSUNG Galaxy Tab S8+ With Stylus 8 GB RAM 128 GB ROM 12.4 inch with Wi-Fi Only Tablet (Pink Gold),4.7,"Rs 73,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB31.5 cm (12.4 inch) Full HD Display13 MP Primary Camera | 12 MP FrontAndroid 12 | Battery: 10090 mAhVoice Call (No Sim)Processor: Octa-Core1 Year Manufacturer Warranty for Tablet and 6 Months Warranty for in the Box Accessories
168,SAMSUNG Galaxy Tab S8+ With Stylus 8 GB RAM 128 GB ROM 12.4 inch with Wi-Fi+5G Tablet (Pink Gold),4.7,"Rs 86,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB31.5 cm (12.4 inch) Full HD Display13 MP Primary Camera | 12 MP FrontAndroid 12 | Battery: 10090 mAhVoice Call (Single Sim)Processor: Octa-Core1 Year Manufacturer Warranty for Tablet and 6 Months Warranty for in the Box Accessories
169,APPLE iPad Air (4th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Rose Gold),4.7,"Rs 49,900","Stunning 10.9-inch Liquid Retina display with True Tone and P3 wide colorA14 Bionic chip with Neural EngineTouch ID for secure authentication and Apple Pay12MP back camera, 7MP FaceTime HD front cameraAvailable in silver, space gray, rose gold, green, and sky blueWide stereo audioWi-Fi 6 (802.11ax) and Gigabit-class LTE cellular dataUp to 10 hours of battery lifeUSB-C connector for charging and accessoriesSupport for Magic Keyboard, Smart Keyboard Folio, and Apple Pencil (2nd generation)iPadOS 14 brings new capabilities designed specifically for iPad64 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 7 MP FrontiPadOS 14 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64‑bit Architecture) with Neural Engine1 Year Limited Hardware Warranty"
